City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
226,Okitipupa,NG,2022-09-27 05:44:50,6.5047,4.7839,72.21,98,99,0.94
227,Porto Velho,BR,2022-09-27 05:45:10,-8.7619,-63.9039,77.05,94,0,1.14
228,Sangin,AF,2022-09-27 05:45:51,32.0728,64.8359,83.75,5,0,1.97
229,Pacific Grove,US,2022-09-27 05:41:12,36.6177,-121.9166,60.48,90,100,8.99
230,Coihaique,CL,2022-09-27 05:45:51,-45.5752,-72.0662,42.75,61,40,4.61
231,Moranbah,AU,2022-09-27 05:45:52,-22.0016,148.0466,88.48,30,9,1.48
232,Berlevag,NO,2022-09-27 05:45:52,70.8578,29.0864,44.6,87,0,0.0
233,Vrangel,RU,2022-09-27 05:45:52,42.7297,133.0839,66.34,73,0,7.11
234,Kamen-Na-Obi,RU,2022-09-27 05:45:53,53.7884,81.3423,38.7,94,100,4.34
235,Socorro,US,2022-09-27 05:45:53,31.6546,-106.3033,79.48,46,20,5.75
236,Salvador,SV,2022-09-27 05:44:25,13.8333,-88.9167,70.2,98,100,0.16
237,East London,ZA,2022-09-27 05:45:53,-33.0153,27.9116,61.74,100,100,18.41
238,Nichinan,JP,2022-09-27 05:45:54,31.6,131.3667,76.68,81,86,5.32
239,Cukai,MY,2022-09-27 05:45:54,4.25,103.4167,91.35,63,100,3.11
240,Carbonia,IT,2022-09-27 05:45:54,39.1672,8.5222,59.65,64,21,8.66
241,Sakaiminato,JP,2022-09-27 05:45:55,35.55,133.2333,66.13,100,75,5.75
242,Half Moon Bay,US,2022-09-27 05:45:55,37.4636,-122.4286,60.71,89,100,13.8
243,Laukaa,RU,2022-09-27 05:45:55,58.7372,29.8453,42.87,86,9,4.85
244,Ribeira Grande,PT,2022-09-27 05:45:55,38.5167,-28.7,70.3,70,100,12.44
245,Kiunga,PG,2022-09-27 05:45:56,-6.1219,141.2906,91.35,48,75,1.77
246,Padang,ID,2022-09-27 05:45:56,-0.9492,100.3543,86.05,76,98,5.1
247,Statesville,US,2022-09-27 05:45:56,35.7826,-80.8873,61.83,51,0,0.0
248,San Cristobal,VE,2022-09-27 05:45:57,7.7669,-72.225,73.58,91,52,1.63
249,Saint-Pierre,RE,2022-09-27 05:45:57,-21.3393,55.4781,76.68,53,0,8.05
250,Port Elizabeth,ZA,2022-09-27 05:45:57,-33.918,25.5701,64.09,93,100,18.41
251,Mandurah,AU,2022-09-27 05:45:06,-32.55,115.7,67.91,69,0,9.55
252,Shimoda,JP,2022-09-27 05:45:58,34.6667,138.95,79.16,67,7,12.44
253,Touros,BR,2022-09-27 05:45:58,-5.1989,-35.4608,73.11,85,28,12.86
254,Thunder Bay,CA,2022-09-27 05:44:16,48.4001,-89.3168,44.58,65,100,10.36
255,Vestmannaeyjar,IS,2022-09-27 05:45:58,63.4427,-20.2734,46.17,50,100,3.69
256,Wattegama,LK,2022-09-27 05:45:59,6.7989,81.4808,95.41,40,22,0.4
257,Zhezkazgan,KZ,2022-09-27 05:45:59,47.8043,67.7144,62.58,36,40,20.13
258,Barrhead,GB,2022-09-27 05:41:28,55.7992,-4.3929,47.84,82,75,8.05
259,Vilyuysk,RU,2022-09-27 05:45:59,63.7553,121.6247,34.07,68,97,6.42
260,Rurrenabaque,BO,2022-09-27 05:46:00,-14.4413,-67.5278,71.42,92,77,2.42
261,Kodiak,US,2022-09-27 05:46:00,57.79,-152.4072,42.31,87,20,5.75
262,Sirsi,IN,2022-09-27 05:46:00,14.6167,74.85,82.44,55,97,1.92
263,Kabala,SL,2022-09-27 05:46:01,9.5833,-11.55,67.35,99,100,1.97
264,Harlingen,US,2022-09-27 05:41:57,26.1906,-97.6961,75.11,97,0,10.36
265,Kavaratti,IN,2022-09-27 05:46:01,10.5669,72.642,81.28,77,34,14.81
266,Labuan,MY,2022-09-27 05:46:01,5.2767,115.2417,82.76,83,20,1.14
267,Yunhe,CN,2022-09-27 05:46:02,34.0833,119.7167,77.68,44,97,7.25
268,Dingle,PH,2022-09-27 05:46:02,10.9995,122.6711,83.3,77,100,13.78
269,Road Town,VG,2022-09-27 05:46:02,18.4167,-64.6167,82.24,77,3,18.43
270,Beringovskiy,RU,2022-09-27 05:46:03,63.05,179.3167,35.98,97,100,18.45
271,Dunedin,NZ,2022-09-27 05:45:22,-45.8742,170.5036,53.8,85,100,4.0
272,Margara,AM,2022-09-27 05:47:03,40.0335,44.1771,63.77,24,0,0.69
273,Acarau,BR,2022-09-27 05:47:03,-2.8856,-40.12,77.61,81,18,14.54
274,Clinton,US,2022-09-27 05:46:07,42.587,-82.9199,54.95,84,100,13.8
275,Belaya Gora,RU,2022-09-27 05:47:04,68.5333,146.4167,34.11,60,90,12.1
276,Nome,US,2022-09-27 05:47:04,64.5011,-165.4064,42.87,82,75,3.44
277,Maragogi,BR,2022-09-27 05:47:05,-9.0122,-35.2225,72.77,79,9,8.25
278,Grindavik,IS,2022-09-27 05:47:05,63.8424,-22.4338,41.47,65,0,4.61
279,Itoman,JP,2022-09-27 05:47:05,26.1247,127.6694,88.57,76,75,12.66
280,Wanaka,NZ,2022-09-27 05:42:33,-44.7,169.15,55.35,74,100,3.42
281,Cairns,AU,2022-09-27 05:47:06,-16.9167,145.7667,90.07,57,4,6.91
282,Schwerin,DE,2022-09-27 05:47:06,53.6294,11.4132,50.14,96,100,5.99
283,Port Hedland,AU,2022-09-27 05:47:06,-20.3167,118.5667,93.25,10,6,10.36
284,Conceicao Da Barra,BR,2022-09-27 05:47:07,-18.5933,-39.7322,72.97,88,97,4.61
285,Aguimes,ES,2022-09-27 05:47:07,27.9054,-15.4461,68.67,83,75,10.36
